DateTimeUTC,EPOCH,BsG_S11,BaG_A11,T_S11,P_S11,T1_XM1
2020-05-01 00:00:00,1588291200,,0000.03,24.5,0668.1,-36.6
2020-05-01 00:01:00,1588291260,,-000.19,24.5,0668.1,-36.5
2020-05-01 00:02:00,1588291320,,0000.28,24.6,0668.1,-36.5
2020-05-01 00:03:00,1588291380,,0000.75,24.6,0668.1,-36.3
2020-05-01 00:04:00,1588291440,0002.47,0001.77,24.4,0669.0,-36.4
2020-05-01 00:05:00,1588291500,0002.93,0001.18,24.3,0669.1,-36.5
2020-05-01 00:06:00,1588291560,0002.96,0001.45,24.3,0669.1,-36.4
2020-05-01 00:07:00,1588291620,0002.49,0001.12,24.3,0669.1,-36.4
2020-05-01 00:08:00,1588291680,0003.16,0001.29,24.3,0669.1,-36.5
2020-05-01 00:09:00,1588291740,0002.94,0001.41,24.3,0669.1,-36.4
2020-05-01 00:10:00,1588291800,0003.02,0000.83,24.3,0669.1,-36.5
2020-05-01 00:11:00,1588291860,0002.63,0001.24,24.3,0669.2,-36.7
2020-05-01 00:12:00,1588291920,0003.16,0001.85,24.3,0669.2,-36.7
2020-05-01 00:13:00,1588291980,0002.87,0000.91,24.3,0669.2,-36.7
2020-05-01 00:14:00,1588292040,0003.02,0001.30,24.3,0669.1,-36.8
2020-05-01 00:15:00,1588292100,0003.02,0001.01,24.3,0669.1,-36.8
2020-05-01 00:16:00,1588292160,0002.98,0001.44,24.3,0669.1,-36.8
2020-05-01 00:17:00,1588292220,0002.83,0000.68,24.3,0669.1,-36.8
2020-05-01 00:18:00,1588292280,0002.63,0001.78,24.3,0669.1,-36.7
2020-05-01 00:19:00,1588292340,0002.94,0001.51,24.3,0669.1,-36.6
2020-05-01 00:20:00,1588292400,0003.38,0000.95,24.3,0669.1,-36.6
2020-05-01 00:21:00,1588292460,0003.38,0001.40,24.3,0669.1,-36.6
2020-05-01 00:22:00,1588292520,0002.88,0001.77,24.3,0669.1,-36.5
2020-05-01 00:23:00,1588292580,0002.72,0001.52,24.3,0669.1,-36.3
2020-05-01 00:24:00,1588292640,0002.98,0002.00,24.3,0669.1,-36.2
2020-05-01 00:25:00,1588292700,0002.68,0001.31,24.3,0669.1,-36.2
2020-05-01 00:26:00,1588292760,0003.08,0001.33,24.3,0669.1,-36.2
2020-05-01 00:27:00,1588292820,0003.13,0001.49,24.3,0669.1,-36.2
2020-05-01 00:28:00,1588292880,0002.90,0001.40,24.3,0669.1,-36.3
2020-05-01 00:29:00,1588292940,0002.86,0001.37,24.3,0669.1,-36.1
2020-05-01 00:30:00,1588293000,0003.08,0001.63,24.3,0669.1,-36.1
2020-05-01 00:31:00,1588293060,0002.75,0001.26,24.3,0669.1,-36.1
2020-05-01 00:32:00,1588293120,0002.95,0001.51,24.3,0669.1,-36.0
2020-05-01 00:33:00,1588293180,0002.71,0001.06,24.2,0669.1,-36.0
2020-05-01 00:34:00,1588293240,0002.92,0001.08,24.2,0669.1,-35.9
2020-05-01 00:35:00,1588293300,0003.35,0001.69,24.2,0669.1,-35.9
2020-05-01 00:36:00,1588293360,0002.98,0001.43,24.2,0669.1,-36.0
2020-05-01 00:37:00,1588293420,0003.52,0001.44,24.2,0669.1,-35.7
2020-05-01 00:38:00,1588293480,0002.98,0001.04,24.2,0669.1,-35.7
2020-05-01 00:39:00,1588293540,0003.14,0001.21,24.2,0669.1,-35.4
2020-05-01 00:40:00,1588293600,0003.26,0001.54,24.2,0669.1,-35.5
2020-05-01 00:41:00,1588293660,0003.24,0001.41,24.2,0669.1,-35.8
2020-05-01 00:42:00,1588293720,0003.41,0001.40,24.2,0669.1,-36.1
2020-05-01 00:43:00,1588293780,0003.56,0001.34,24.2,0669.0,-36.3
2020-05-01 00:44:00,1588293840,0003.50,0001.41,24.2,0669.1,-36.4
2020-05-01 00:45:00,1588293900,0003.53,0001.29,24.1,0669.1,-36.4
2020-05-01 00:46:00,1588293960,0003.38,0001.23,24.1,0669.0,-36.6
2020-05-01 00:47:00,1588294020,0003.18,0000.92,24.1,0669.1,-36.7
2020-05-01 00:48:00,1588294080,0003.02,0001.57,24.1,0669.0,-36.7
2020-05-01 00:49:00,1588294140,0003.20,0001.17,24.1,0669.0,-36.7
2020-05-01 00:50:00,1588294200,0003.15,0000.88,24.1,0669.0,-36.8
2020-05-01 00:51:00,1588294260,0003.37,0001.36,24.1,0669.0,-36.8
2020-05-01 00:52:00,1588294320,0003.31,0001.50,24.1,0669.0,-36.9
2020-05-01 00:53:00,1588294380,0003.68,0001.04,24.1,0669.0,-37.0
2020-05-01 00:54:00,1588294440,0003.44,0001.17,24.1,0669.0,-37.1
2020-05-01 00:55:00,1588294500,0003.09,0001.88,24.1,0669.0,-37.2
2020-05-01 00:56:00,1588294560,0003.01,0001.14,24.1,0669.0,-37.2
2020-05-01 00:57:00,1588294620,,0000.73,24.1,0669.1,-37.3
2020-05-01 00:58:00,1588294680,,-000.31,24.2,0668.1,-37.3
2020-05-01 00:59:00,1588294740,,-000.26,24.3,0668.0,-37.4
2020-05-01 01:00:00,1588294800,,0000.39,24.3,0668.0,-37.4
2020-05-01 01:01:00,1588294860,,-000.32,24.3,0668.0,-37.4
2020-05-01 01:02:00,1588294920,,-000.16,24.4,0668.0,-37.4
2020-05-01 01:03:00,1588294980,,0001.15,24.4,0668.0,-37.4
2020-05-01 01:04:00,1588295040,0002.91,0001.36,24.2,0668.9,-37.4
2020-05-01 01:05:00,1588295100,0003.38,0000.94,24.1,0669.0,-37.3
2020-05-01 01:06:00,1588295160,0003.32,0001.09,24.1,0669.0,-37.3
